ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_in_term
IPR006044	11-S seed storage protein, plant	15/5009	32/35927	7.65242101199443e-06	0.00597653357478979	0.00597653357478979	og24073/og24216/og24668/og24720/og24736/og25139/og29495/og29521/og29523/og29524/og30568/og30613/og32662/og32663/og32931	15	15/32
IPR036408	Photosystem I PsaA/PsaB superfamily	15/5009	33/35927	1.22203971028908e-05	0.00597653357478979	0.00597653357478979	og24719/og27768/og27889/og28555/og29115/og29498/og30827/og30917/og32548/og32719/og32932/og33218/og33296/og33400/og35015	15	15/33
IPR001944	Glycoside hydrolase, family 35	26/5009	79/35927	1.45268535853751e-05	0.00597653357478979	0.00597653357478979	og23198/og24271/og25173/og25236/og26433/og26619/og26646/og26657/og26659/og27881/og27891/og28258/og28560/og28561/og28738/og29153/og29769/og30882/og30936/og31102/og31247/og32396/og32975/og33044/og33285/og33522	26	26/79
IPR001280	Photosystem I PsaA/PsaB	14/5009	30/35927	1.64303328516558e-05	0.00597653357478979	0.00597653357478979	og24719/og27768/og27889/og28555/og29115/og29498/og30827/og32548/og32719/og32932/og33218/og33296/og33400/og35015	14	14/30
IPR006045	Cupin 1	25/5009	78/35927	3.4966889931999e-05	0.0101753649702117	0.0101753649702117	og23772/og24073/og24216/og24668/og24683/og24720/og24736/og25139/og25923/og28540/og28678/og28854/og29495/og29520/og29521/og29523/og29524/og30568/og30613/og30748/og30813/og32662/og32663/og32931/og34995	25	25/78
IPR008543	Uncharacterised protein family Ycf2	12/5009	29/35927	0.000272543652515476	0.066091835735003	0.066091835735003	og26240/og26598/og27632/og27874/og28531/og28532/og29155/og29699/og30828/og30861/og32918/og33315	12	12/29
IPR044711	Egg cell-secreted protein 1.1-1.5	6/5009	9/35927	0.000420729271631531	0.0874515843176968	0.0874515843176968	og24458/og28717/og29674/og31137/og32930/og33002	6	6/9
IPR031330	Glycoside hydrolase 35, catalytic domain	20/5009	67/35927	0.000584751814618085	0.106351736283664	0.106351736283664	og23198/og24271/og25173/og25236/og26619/og26646/og26657/og26659/og27881/og28560/og28561/og29153/og29769/og30882/og30936/og31102/og31247/og32396/og32975/og33285	20	20/67
IPR011762	Acetyl-coenzyme A carboxyltransferase, N-terminal	7/5009	13/35927	0.000806698910150759	0.114189818942052	0.114189818942052	og25392/og26049/og29227/og30868/og32503/og32925/og33290	7	7/13
IPR036854	Photosystem II protein D1/D2 superfamily	7/5009	13/35927	0.000806698910150759	0.114189818942052	0.114189818942052	og29155/og29359/og29505/og30878/og31250/og32935/og33288	7	7/13
