GO_ID	ALT_ID	Root_GO	GO_name	GO_desc	Ancestors
GO:0000001	NA	Biological Process	mitochondrion inheritance	"The distribution of mitochondria, including the mitochondrial genome, into daughter cells after mitosis or meiosis, mediated by interactions between mitochondria and the cytoskeleton." [GOC:mcc, PMID:10873824, PMID:11389764]	GO:0009987;GO:0071840;GO:0016043;GO:0006996;GO:0048308;GO:0051179;GO:0051640;GO:0051646;GO:0048311;GO:0000001
GO:0000002	NA	Biological Process	mitochondrial genome maintenance	"The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome." [GOC:ai, GOC:vw]	GO:0009987;GO:0071840;GO:0016043;GO:0006996;GO:0007005;GO:0000002
GO:0000003	GO:0019952;GO:0050876	Biological Process	obsolete reproduction	"OBSOLETE. The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms." [GOC:go_curators, GOC:isa_complete, GOC:jl, ISBN:0198506732]	GO:0000003
GO:0000005	NA	Molecular Function	obsolete ribosomal chaperone activity	"OBSOLETE. Assists in the correct assembly of ribosomes or ribosomal subunits in vivo, but is not a component of the assembled ribosome when performing its normal biological function." [GOC:jl, PMID:12150913]	GO:0000005
GO:0000006	NA	Molecular Function	high-affinity zinc transmembrane transporter activity	"Enables the transfer of zinc ions (Zn2+) from one side of a membrane to the other, probably powered by proton motive force. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations." [TC:2.A.5.1.1]	GO:0005215;GO:0051179;GO:0051234;GO:0006810;GO:0009987;GO:0055085;GO:0022857;GO:0006811;GO:0034220;GO:0015075;GO:0006812;GO:0098655;GO:0008324;GO:0015318;GO:0022890;GO:0030001;GO:0046873;GO:0000041;GO:0046915;GO:0006829;GO:0098660;GO:0098662;GO:0071577;GO:0005385;GO:0000006
GO:0000007	NA	Molecular Function	low-affinity zinc ion transmembrane transporter activity	"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Zn2+ = Zn2+, probably powered by proton motive force. In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations." [GOC:mtg_transport, ISBN:0815340729]	GO:0005215;GO:0051179;GO:0051234;GO:0006810;GO:0009987;GO:0055085;GO:0022857;GO:0006811;GO:0034220;GO:0015075;GO:0006812;GO:0098655;GO:0008324;GO:0015318;GO:0022890;GO:0030001;GO:0046873;GO:0000041;GO:0046915;GO:0006829;GO:0098660;GO:0098662;GO:0071577;GO:0005385;GO:0000007
GO:0000008	GO:0000013	Molecular Function	obsolete thioredoxin	"OBSOLETE. A small disulfide-containing redox protein that serves as a general protein disulfide oxidoreductase. Interacts with a broad range of proteins by a redox mechanism, based on the reversible oxidation of 2 cysteine thiol groups to a disulfide, accompanied by the transfer of 2 electrons and 2 protons. The net result is the covalent interconversion of a disulfide and a dithiol." [GOC:kd]	GO:0000008
GO:0000009	NA	Molecular Function	alpha-1,6-mannosyltransferase activity	"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage." [GOC:mcc, PMID:2644248]	GO:0003824;GO:0016740;GO:0016757;GO:0016758;GO:0000030;GO:0000009
GO:0000010	GO:0036422	Molecular Function	heptaprenyl diphosphate synthase activity	"Catalysis of the reaction: (2E,6E)-farnesyl diphosphate + 4 isopentenyl diphosphate = 4 diphosphate + all-trans-heptaprenyl diphosphate." [PMID:9708911, RHEA:27794]	GO:0003824;GO:0016740;GO:0016765;GO:0004659;GO:0000010
GO:0000011	NA	Biological Process	vacuole inheritance	"The distribution of vacuoles into daughter cells after mitosis or meiosis, mediated by interactions between vacuoles and the cytoskeleton." [GOC:mcc, PMID:10873824, PMID:14616069]	GO:0009987;GO:0071840;GO:0016043;GO:0006996;GO:0007033;GO:0048308;GO:0000011
GO:0000012	NA	Biological Process	single strand break repair	"The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair." [PMID:18626472]	GO:0009987;GO:0008152;GO:0044238;GO:0006139;GO:0043170;GO:0090304;GO:0006259;GO:0050896;GO:0006950;GO:0051716;GO:0033554;GO:0006974;GO:0006281;GO:0000012
GO:0000014	NA	Molecular Function	single-stranded DNA endodeoxyribonuclease activity	"Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks." [GOC:mah]	GO:0003824;GO:0016787;GO:0016788;GO:0004518;GO:0004519;GO:0140640;GO:0140097;GO:0009987;GO:0008152;GO:0044238;GO:0006139;GO:0043170;GO:0090304;GO:0006259;GO:0004536;GO:0004520;GO:0000014
