Map_ID	Map_description	KO_Num_InMap	KO	Cma_Gene	Cmo_Gene	Cla_Gene	Csa_Gene	Cme_Gene
01100	Metabolic pathways	832	K00001	Cma_020409	Cmo_025964	Cla008358, Cla004992	Csa1M044860.1	MELO3C002189P1
01100	Metabolic pathways	832	K00008	Cma_009087	Cmo_025164	Cla006214	Csa3M180210.1, Csa3M180220.1	MELO3C006865P1, MELO3C006866P1
01100	Metabolic pathways	832	K00011	Cma_027496, Cma_029992	Cmo_016178	Cla015877, Cla015878, Cla015879	Csa7M007810.1, Csa7M007820.1, Csa7M007830.1	MELO3C003284P1, MELO3C013410P1, MELO3C013411P1
01100	Metabolic pathways	832	K00012	Cma_011648, Cma_018247, Cma_005713	Cmo_024468, Cmo_013728, Cmo_030332	Cla019071, Cla019072, Cla022014, Cla000258	Csa1M012150.1, Csa4M094000.1, Csa6M366390.1	MELO3C011431P1, MELO3C016068P1, MELO3C017213P1
01100	Metabolic pathways	832	K00013	Cma_015554, Cma_019951	Cmo_017770	Cla019716	Csa1M537580.1	MELO3C002828P1
01100	Metabolic pathways	832	K00016	Cma_027970, Cma_016731	Cmo_020028, Cmo_024855	Cla011577	Csa5M161910.1, Csa5M161920.1, Csa5M161930.1, Csa5M161940.1	MELO3C005539P1
01100	Metabolic pathways	832	K00020	Cma_019956		Cla019511	Csa1M538190.1	MELO3C002813P1
01100	Metabolic pathways	832	K00021	Cma_027376, Cma_030821, Cma_010124, Cma_019100	Cmo_029018, Cmo_012233, Cmo_012936, Cmo_010298	Cla001204, Cla015723, Cla021910	Csa6M117710.1, Csa6M401490.1, Csa7M029390.1	MELO3C013480P1, MELO3C015691P1, MELO3C026512P1
01100	Metabolic pathways	832	K00025	Cma_023535, Cma_019409, Cma_006739	Cmo_023516, Cmo_020409, Cmo_026227	Cla021097, Cla007587	Csa2M174150.1, Csa3M117980.2	MELO3C005968P2, MELO3C022998P2
01100	Metabolic pathways	832	K00026	Cma_011683, Cma_021962, Cma_000566, Cma_005006, Cma_009352	Cmo_022982, Cmo_025455, Cmo_002808, Cmo_014317, Cmo_009465	Cla015968, Cla014068, Cla019110, Cla002430	Csa1M009760.1, Csa4M083700.1, Csa6M324800.1, Csa6M497060.1, Csa7M394650.1	MELO3C007674P1, MELO3C016050P1, MELO3C016095P1, MELO3C017175P1
01100	Metabolic pathways	832	K00028	Cma_029495, Cma_019566, Cma_006525	Cmo_023678, Cmo_004955, Cmo_026455, Cmo_000398	Cla021370, Cla006920, Cla006921	Csa3M127830.1, Csa6M073990.1	MELO3C006261P1, MELO3C022537P1, MELO3C022538P1
01100	Metabolic pathways	832	K00029	Cma_011211, Cma_017886, Cma_014281, Cma_020867, Cma_005882, Cma_002551, Cma_017208	Cmo_018310, Cmo_013337, Cmo_017123, Cmo_022510, Cmo_003296, Cmo_021359, Cmo_015236	Cla012653, Cla016028, Cla011268, Cla022199, Cla000898	Csa1M574870.1, Csa2M373430.2, Csa3M444620.1, Csa7M452890.1	MELO3C011129P2, MELO3C013000P2, MELO3C015407P1, MELO3C024441P1
01100	Metabolic pathways	832	K00030	Cma_021738, Cma_030825, Cma_004648, Cma_005247, Cma_010114, Cma_031810	Cmo_022654, Cmo_027377, Cmo_012948, Cmo_010284, Cmo_014572, Cmo_027969	Cla014345, Cla018304, Cla000206	Csa6M119390.1, Csa6M446300.1, Csa6M509550.1	MELO3C007968P1, MELO3C013505P1, MELO3C014221P1
01100	Metabolic pathways	832	K00031	Cma_014710, Cma_015121, Cma_012994, Cma_013415	Cmo_001859, Cmo_002306, Cmo_007140, Cmo_007141, Cmo_007142, Cmo_007572	Cla010418, Cla009135	Csa5M346550.1, Csa5M523180.1	MELO3C021563P1, MELO3C025076P3
01100	Metabolic pathways	832	K00033	Cma_015266, Cma_012859, Cma_000712, Cma_009497	Cmo_002438, Cmo_007000, Cmo_013705, Cmo_009614, Cmo_030842	Cla016490, Cla010932	Csa4M050830.1, Csa5M642720.1	MELO3C016317P1, MELO3C022063P1
01100	Metabolic pathways	832	K00036	Cma_026380, Cma_026487, Cma_012373, Cma_018998	Cmo_028853, Cmo_032007, Cmo_012141, Cmo_029167	Cla019990, Cla001193, Cla001194, Cla000612	Csa2M034760.1, Csa4M443140.1	MELO3C003280P1, MELO3C008985P1
01100	Metabolic pathways	832	K00051	Cma_026501	Cmo_011316	Cla020526	Csa5M622460.1	MELO3C012389P1
01100	Metabolic pathways	832	K00052	Cma_017955	Cmo_013410	Cla012734	Csa4M006270.1	MELO3C017853P1
01100	Metabolic pathways	832	K00053	Cma_027165, Cma_011972	Cmo_015824, Cmo_030459	Cla016264	Csa7M051370.1	MELO3C018695P1
01100	Metabolic pathways	832	K00058	Cma_017814, Cma_000475, Cma_005819, Cma_009279	Cmo_018379, Cmo_013264, Cmo_013265, Cmo_025372, Cmo_009368	Cla012565, Cla013094	Csa3M199630.1, Csa3M651740.1	MELO3C019542P1, MELO3C025791P1
01100	Metabolic pathways	832	K00059	Cma_020686, Cma_029116, Cma_025493, Cma_031981, Cma_017720	Cmo_031754, Cmo_021980, Cmo_026725, Cmo_015084	Cla012137, Cla017175, Cla022705	Csa2M350440.1, Csa3M843800.1, Csa3M843810.1, Csa4M192180.1	MELO3C008796P1, MELO3C010727P1, MELO3C026890P1, MELO3C026891P1
01100	Metabolic pathways	832	K00074			Cla004293	Csa3M234000.1	MELO3C019405P1
01100	Metabolic pathways	832	K00083	Cma_030312, Cma_030313, Cma_012132, Cma_000470, Cma_007786, Cma_005024, Cma_009276, Cma_016149	Cmo_019410, Cmo_028666, Cmo_028667, Cmo_007887, Cmo_025368, Cmo_014338, Cmo_009361, Cmo_028584	Cla007434, Cla013100, Cla016048, Cla007782, Cla007784, Cla014092, Cla004972	Csa2M299950.1, Csa2M300950.1, Csa3M199580.1, Csa3M874320.1, Csa5M146280.1, Csa6M497350.1, Csa7M071700.1	MELO3C003735P2, MELO3C005809P1, MELO3C007702P1, MELO3C018492P1, MELO3C019548P1, MELO3C023272P1
01100	Metabolic pathways	832	K00088	Cma_027076	Cmo_015738	Cla005483	Csa7M239630.1	MELO3C012593P1
01100	Metabolic pathways	832	K00099	Cma_011750	Cmo_024360	Cla019193	Csa1M004930.1	MELO3C026292P1
01100	Metabolic pathways	832	K00106	Cma_010943	Cmo_021643	Cla006297	Csa1M613540.1	MELO3C015199P1, MELO3C016640P1
01100	Metabolic pathways	832	K00121	Cma_013687, Cma_019057, Cma_019058, Cma_019060, Cma_019059, Cma_022764	Cmo_012191, Cmo_012195, Cmo_012192, Cmo_012194, Cmo_020618	Cla021951, Cla021952, Cla022110, Cla007056	Csa2M369090.1, Csa6M087920.1, Csa6M361240.2, Csa6M361250.1, Csa6M361260.1	MELO3C011043P1, MELO3C022399P2, MELO3C026552P1, MELO3C026553P1, MELO3C026554P2
01100	Metabolic pathways	832	K00122	Cma_008504	Cmo_004292, Cmo_004293	Cla017090	Csa3M836500.1	MELO3C009956P2
01100	Metabolic pathways	832	K00128	Cma_020627, Cma_007184, Cma_003581, Cma_003582, Cma_009579, Cma_016433, Cma_003091, Cma_017788	Cmo_019724, Cmo_008498, Cmo_029618, Cmo_005326, Cmo_005327, Cmo_021907, Cmo_002746, Cmo_015041	Cla014544, Cla023176, Cla023177, Cla019804, Cla019184, Cla008541	Csa1M005520.1, Csa2M010420.1, Csa4M043870.1, Csa4M291370.1, Csa4M361880.1, Csa4M361890.1	MELO3C004383P2, MELO3C010493P1, MELO3C010494P1, MELO3C014600P1, MELO3C014601P2, MELO3C017100P1, MELO3C017542P1
01100	Metabolic pathways	832	K00130	Cma_011724	Cmo_024392	Cla019160	Csa1M006270.1	MELO3C017125P2
01100	Metabolic pathways	832	K00131	Cma_025101	Cmo_011945, Cmo_006294	Cla013611	Csa2M009470.2	MELO3C004430P1
01100	Metabolic pathways	832	K00133	Cma_001035, Cma_000080	Cmo_008937, Cmo_009965	Cla002202	Csa5M021360.1, Csa5M021870.1	MELO3C010427P1
01100	Metabolic pathways	832	K00134	Cma_027080, Cma_015380, Cma_012736, Cma_011877, Cma_015850, Cma_020257, Cma_020258, Cma_024116	Cmo_002558, Cmo_015744, Cmo_006875, Cmo_006880, Cmo_017473, Cmo_012576, Cmo_025812, Cmo_025813, Cmo_010694, Cmo_030561	Cla013454, Cla006530, Cla002597, Cla002598, Cla005489	Csa1M050240.3, Csa1M050250.1, Csa6M008590.1, Csa6M136010.1, Csa7M239050.1	MELO3C002342P1, MELO3C002343P1, MELO3C008219P2, MELO3C012598P1, MELO3C012599P1, MELO3C019633P1
01100	Metabolic pathways	832	K00140	Cma_005026, Cma_005027	Cmo_014340, Cmo_014341, Cmo_028525	Cla012937, Cla014095	Csa6M497380.1, Csa7M066830.1	MELO3C007705P1, MELO3C018583P1
01100	Metabolic pathways	832	K00145	Cma_024341	Cmo_012800	Cla010271	Csa2M236630.1	MELO3C021919P1
01100	Metabolic pathways	832	K00161	Cma_014502, Cma_021342, Cma_000307, Cma_000308, Cma_019131	Cmo_012291, Cmo_009182, Cmo_015690, Cmo_029875	Cla013777, Cla010126, Cla006743	Csa5M603950.1, Csa6M095870.1, Csa6M404280.1	MELO3C012035P1, MELO3C019789P2, MELO3C022306P1
01100	Metabolic pathways	832	K00162	Cma_013636, Cma_015593, Cma_022798	Cmo_020585, Cmo_016498, Cmo_017730	Cla019577, Cla001493	Csa1M435750.1, Csa6M091990.1	MELO3C002746P1, MELO3C022343P1
01100	Metabolic pathways	832	K00164	Cma_015065, Cma_000223, Cma_001196	Cmo_018601, Cmo_007203, Cmo_009085	Cla004020, Cla004021, Cla004691	Csa5M181450.1, Csa5M512860.1	MELO3C023844P1, MELO3C025454P1
01100	Metabolic pathways	832	K00166	Cma_006818, Cma_004773, Cma_003293	Cmo_005022, Cmo_014142, Cmo_027574	Cla008426, Cla000753	Csa6M395130.1, Csa6M483270.1	MELO3C008063P1, MELO3C011705P2
01100	Metabolic pathways	832	K00167	Cma_011069	Cmo_021497	Cla011118	Csa1M599400.1	MELO3C015564P1
01100	Metabolic pathways	832	K00207	Cma_015982, Cma_020447	Cmo_017342, Cmo_026006	Cla018438	Csa1M042970.1	MELO3C002149P1
01100	Metabolic pathways	832	K00208	Cma_010773, Cma_016407	Cmo_019697, Cmo_010940, Cmo_003475	Cla004792, Cla003203	Csa1M605670.1, Csa4M286380.1	MELO3C014644P1, MELO3C015668P1
01100	Metabolic pathways	832	K00213		Cmo_023753	Cla015486	Csa7M447780.1	MELO3C024285P1
01100	Metabolic pathways	832	K00215	Cma_030269	Cmo_031331	Cla016328	Csa7M209030.1	MELO3C013171P1
01100	Metabolic pathways	832	K00218	Cma_006998, Cma_010641	Cmo_008680, Cmo_005233, Cmo_010793	Cla023399, Cla013572	Csa4M638340.1	MELO3C013592P2, MELO3C016714P2
01100	Metabolic pathways	832	K00222	Cma_008132, Cma_023245	Cmo_001172, Cmo_004695	Cla017733	Csa3M748820.1	MELO3C009431P1
01100	Metabolic pathways	832	K00225	Cma_025312	Cmo_026899	Cla005015	Csa4M236360.1	MELO3C020736P1, MELO3C020737P1
01100	Metabolic pathways	832	K00227	Cma_018192, Cma_005767	Cmo_018436, Cmo_013664	Cla010940	Csa4M409800.1	MELO3C010409P1
01100	Metabolic pathways	832	K00228	Cma_009431	Cmo_030913	Cla005450	Csa4M056670.1	MELO3C016226P2
