Geneid	Chr	Start	End	Strand	Length	G1_Rep1	G1_Rep2	G1_Rep3	G2_Rep1	G2_Rep2	G2_Rep3	G3_Rep1	G3_Rep2	G3_Rep3
gene1	chr1	3000	5299	+	2299	30	25	37	175	149	147	25	30	31
gene2	chr1	6000	7605	+	1605	34	24	24	181	217	223	31	33	33
gene3	chr1	9000	10368	+	1368	25	31	28	186	148	146	36	31	26
gene4	chr1	12000	13607	+	1607	24	32	35	170	163	137	33	29	30
gene5	chr1	15000	16598	+	1598	33	24	24	146	137	175	26	29	31
gene6	chr1	18000	20516	+	2516	35	28	32	28	32	41	241	206	202
gene7	chr1	21000	22415	+	1415	40	41	43	40	35	41	172	227	189
gene8	chr1	24000	26130	+	2130	36	40	31	36	40	27	151	176	221
gene9	chr1	27000	28357	+	1357	37	34	28	41	40	36	221	168	231
gene10	chr1	30000	31550	+	1550	38	40	38	40	26	40	233	182	203
gene11	chr1	33000	34044	+	1044	68	61	57	55	49	62	46	63	55
gene12	chr1	36000	38626	+	2626	55	69	45	72	70	49	72	70	61
gene13	chr1	39000	41354	+	2354	49	62	69	61	55	58	74	50	70
gene14	chr1	42000	43047	+	1047	62	47	58	66	62	61	57	74	66
gene15	chr1	45000	45992	+	992	62	65	64	51	64	70	63	71	57
gene16	chr1	48000	49708	+	1708	62	45	45	68	61	58	53	65	72
gene17	chr1	51000	53746	+	2746	54	63	51	54	55	52	69	74	45
gene18	chr1	54000	54846	+	846	70	54	59	66	46	68	56	47	52
gene19	chr1	57000	58918	+	1918	60	52	57	51	64	46	70	68	65
gene20	chr1	60000	61126	+	1126	52	62	68	65	50	56	45	70	62
gene21	chr1	63000	64764	+	1764	57	71	61	74	71	61	52	63	68
gene22	chr1	66000	66856	+	856	66	46	61	68	62	53	63	74	74
gene23	chr1	69000	71586	+	2586	46	53	62	64	46	54	46	62	52
gene24	chr1	72000	72871	+	871	47	70	68	57	69	56	52	66	54
gene25	chr1	75000	76902	+	1902	54	51	51	72	70	45	65	55	47
gene26	chr1	78000	79778	+	1778	58	56	61	60	66	72	55	50	67
gene27	chr1	81000	82884	+	1884	70	49	49	46	54	51	70	68	55
gene28	chr1	84000	85475	+	1475	53	54	70	60	74	57	50	47	46
gene29	chr1	87000	88002	+	1002	48	74	62	57	46	52	62	48	48
gene30	chr1	90000	91459	+	1459	62	74	63	51	52	52	65	63	54
gene31	chr1	93000	94072	+	1072	52	62	66	45	64	71	74	47	68
gene32	chr1	96000	96905	+	905	55	52	73	65	60	52	60	53	48
gene33	chr1	99000	101370	+	2370	56	69	71	46	59	63	66	56	49
gene34	chr1	102000	103122	+	1122	67	50	65	53	67	69	61	60	50
gene35	chr1	105000	107130	+	2130	56	45	54	66	52	67	62	69	48
gene36	chr1	108000	109324	+	1324	45	56	72	63	73	57	72	70	72
gene37	chr1	111000	112806	+	1806	55	68	53	50	66	55	51	46	68
gene38	chr1	114000	115137	+	1137	70	48	53	49	68	68	58	61	72
gene39	chr1	117000	119683	+	2683	72	66	65	46	70	51	68	60	53
gene40	chr1	120000	122363	+	2363	60	62	73	69	54	73	65	54	74
gene41	chr1	123000	124350	+	1350	70	65	56	64	53	69	49	48	73
gene42	chr1	126000	127869	+	1869	71	49	72	69	45	64	70	65	54
gene43	chr1	129000	130570	+	1570	71	49	48	49	73	58	61	55	63
gene44	chr1	132000	134536	+	2536	61	47	48	48	51	66	62	49	52
gene45	chr1	135000	137402	+	2402	60	56	56	51	46	46	74	66	54
gene46	chr1	138000	139696	+	1696	45	54	59	63	61	56	67	47	48
gene47	chr1	141000	142871	+	1871	63	54	45	64	60	68	52	57	62
gene48	chr1	144000	144934	+	934	56	73	60	67	50	66	51	56	66
gene49	chr1	147000	148894	+	1894	67	53	48	57	71	72	65	74	50
gene50	chr1	150000	151294	+	1294	67	48	45	73	68	73	68	48	52
gene51	chr1	153000	154921	+	1921	63	52	71	66	48	51	74	63	59
gene52	chr1	156000	157440	+	1440	70	46	73	55	60	50	67	64	45
gene53	chr1	159000	161197	+	2197	72	47	53	54	60	66	52	47	46
gene54	chr1	162000	162942	+	942	71	52	67	60	71	61	70	73	60
gene55	chr1	165000	166702	+	1702	56	66	61	46	73	53	45	57	59
gene56	chr1	168000	169340	+	1340	63	57	73	69	51	50	67	56	72
gene57	chr1	171000	173596	+	2596	65	67	63	48	58	65	63	47	63
gene58	chr1	174000	175756	+	1756	61	55	72	51	71	74	56	49	48
gene59	chr1	177000	178848	+	1848	67	58	73	70	66	58	58	62	48
gene60	chr1	180000	181434	+	1434	56	67	67	58	60	47	45	57	67
gene61	chr1	183000	184283	+	1283	53	50	69	58	52	60	65	56	59
gene62	chr1	186000	188521	+	2521	62	53	55	69	72	50	72	67	52
gene63	chr1	189000	190491	+	1491	47	60	45	71	65	67	61	66	55
gene64	chr1	192000	193514	+	1514	58	66	68	73	64	60	71	56	73
gene65	chr1	195000	197077	+	2077	46	50	46	62	53	50	74	68	51
gene66	chr1	198000	199101	+	1101	51	49	63	55	58	63	52	52	72
gene67	chr1	201000	202137	+	1137	52	74	61	45	59	59	72	65	52
gene68	chr1	204000	205426	+	1426	64	55	58	47	71	74	49	69	58
gene69	chr1	207000	208363	+	1363	62	47	63	63	46	68	60	50	50
gene70	chr1	210000	211243	+	1243	47	67	72	48	47	66	63	70	58
gene71	chr1	213000	214875	+	1875	47	45	45	55	70	45	68	48	55
gene72	chr1	216000	217816	+	1816	63	61	56	57	67	47	49	67	55
gene73	chr1	219000	221095	+	2095	70	45	61	73	53	45	51	54	58
gene74	chr1	222000	224073	+	2073	67	50	56	61	55	70	64	57	62
gene75	chr1	225000	227333	+	2333	45	64	55	46	55	70	56	62	64
gene76	chr1	228000	230143	+	2143	64	50	65	52	63	51	55	74	64
gene77	chr1	231000	232127	+	1127	67	54	52	68	65	56	52	64	70
gene78	chr1	234000	236535	+	2535	48	48	62	69	57	48	53	74	65
gene79	chr1	237000	239003	+	2003	74	65	55	56	63	68	58	50	56
gene80	chr1	240000	242550	+	2550	73	50	45	53	68	48	48	72	54
gene81	chr1	243000	244599	+	1599	65	69	45	59	46	66	54	63	51
gene82	chr1	246000	248593	+	2593	68	73	58	74	51	56	47	60	65
gene83	chr1	249000	250798	+	1798	48	68	69	63	71	47	70	60	45
gene84	chr1	252000	254791	+	2791	55	66	56	72	61	45	45	59	67
gene85	chr1	255000	256684	+	1684	69	62	50	56	60	55	46	60	57
gene86	chr1	258000	259152	+	1152	74	54	74	68	51	59	59	50	64
gene87	chr1	261000	263066	+	2066	73	45	74	58	74	69	65	55	50
gene88	chr1	264000	265532	+	1532	61	60	50	74	62	58	62	51	65
gene89	chr1	267000	269546	+	2546	63	58	45	53	74	73	47	50	65
gene90	chr1	270000	271302	+	1302	58	46	60	68	45	74	54	57	71
gene91	chr1	273000	275619	+	2619	74	65	60	64	61	63	58	46	45
gene92	chr1	276000	277098	+	1098	62	67	54	56	74	49	70	50	54
gene93	chr1	279000	281098	+	2098	60	65	51	55	61	50	64	58	51
gene94	chr1	282000	284771	+	2771	48	45	52	52	60	64	61	49	59
gene95	chr1	285000	285831	+	831	63	48	56	64	60	54	69	74	72
