target_id	length	eff_length	est_counts	tpm
OG001_t1	2427	2277.000	1078	14250.765333
OG001_t2	1323	1173.000	881	22607.906828
OG002_t1	1783	1633.000	57	1050.681606
OG002_t2	1567	1417.000	69	1465.756062
OG003_t1	1167	1017.000	53	1568.690892
OG003_t2	1707	1557.000	39	753.977616
OG004_t1	1023	873.000	361	12447.307444
OG004_t2	725	575.000	311	16280.772313
OG005_t1	2044	1894.000	1559	24776.993044
OG005_t2	827	677.000	2133	94838.493176
OG006_t1	827	677.000	1874	83322.708023
OG006_t2	1696	1546.000	1412	27492.084211
OG007_t1	1210	1060.000	460	13062.744272
OG007_t2	2609	2459.000	304	3721.324252
OG008_t1	2558	2408.000	23	287.510567
OG008_t2	2577	2427.000	15	186.038976
OG009_t1	905	755.000	91	3628.080370
OG009_t2	2575	2425.000	80	993.026189
OG010_t1	1955	1805.000	23	383.559804
OG010_t2	1054	904.000	24	799.144417
OG011_t1	2327	2177.000	8	110.614998
OG011_t2	1316	1166.000	10	258.157001
OG012_t1	1036	886.000	145	4926.253299
OG012_t2	2242	2092.000	147	2115.135103
OG013_t1	2588	2438.000	15	185.199588
OG013_t2	952	802.000	13	487.923171
OG014_t1	1142	992.000	47	1426.161290
OG014_t2	2198	2048.000	58	852.472739
OG015_t1	2265	2115.000	4	56.928806
OG015_t2	1405	1255.000	4	95.939781
OG016_t1	919	769.000	35	1370.011343
OG016_t2	2495	2345.000	34	436.433952
OG017_t1	1719	1569.000	32	613.916765
OG017_t2	1730	1580.000	43	819.207325
OG018_t1	1360	1210.000	69	1716.509371
OG018_t2	1160	1010.000	45	1341.138402
OG019_t1	1339	1189.000	6	151.897930
OG019_t2	1805	1655.000	4	72.751919
OG020_t1	2029	1879.000	39	624.770169
OG020_t2	1723	1573.000	62	1186.439030
OG021_t1	2057	1907.000	63	994.425643
OG021_t2	1565	1415.000	97	2063.468069
OG022_t1	1342	1192.000	50	1262.630301
OG022_t2	1444	1294.000	54	1256.151270
OG023_t1	1117	967.000	8	249.026733
OG023_t2	1826	1676.000	7	125.720611
OG024_t1	1937	1787.000	7	117.911441
OG024_t2	1133	983.000	9	275.595074
OG025_t1	1709	1559.000	42	810.934232
OG025_t2	1187	1037.000	45	1306.219659
OG026_t1	2235	2085.000	31	447.546426
OG026_t2	1654	1504.000	40	800.561340
OG027_t1	2298	2148.000	5	70.067752
OG027_t2	2439	2289.000	3	39.450991
OG028_t1	855	705.000	8	341.572838
OG028_t2	1225	1075.000	9	252.009263
OG029_t1	2359	2209.000	24	327.037824
OG029_t2	2053	1903.000	17	268.901108
OG030_t1	2617	2467.000	4	48.806010
OG030_t2	1216	1066.000	3	84.712307
OG031_t1	2561	2411.000	75	936.367888
OG031_t2	1291	1141.000	64	1688.405616
OG032_t1	1959	1809.000	118	1963.477364
OG032_t2	2011	1861.000	164	2652.649889
OG033_t1	1983	1833.000	13	213.483024
OG033_t2	2408	2258.000	10	133.308708
OG034_t1	1062	912.000	54	1782.302351
OG034_t2	1481	1331.000	68	1537.847658
OG035_t1	2304	2154.000	8	111.796124
OG035_t2	1353	1203.000	10	250.217011
OG036_t1	1889	1739.000	8	138.475475
OG036_t2	1911	1761.000	9	153.838704
OG037_t1	943	793.000	50	1897.926000
OG037_t2	1317	1167.000	83	2140.867034
OG038_t1	2518	2368.000	5	63.558079
OG038_t2	1841	1691.000	5	89.003863
OG039_t1	1840	1690.000	21	374.037416
OG039_t2	940	790.000	24	914.463991
OG040_t1	747	597.000	288	14521.136740
OG040_t2	1879	1729.000	225	3917.148023
OG041_t1	1882	1732.000	281	4883.609058
OG041_t2	2287	2137.000	334	4704.618403
OG042_t1	1550	1400.000	360	7740.284494
OG042_t2	843	693.000	370	16071.297772
OG043_t1	2633	2483.000	2	24.245756
OG043_t2	2590	2440.000	2	24.673038
OG044_t1	1972	1822.000	72	1189.505850
OG044_t2	797	647.000	69	3210.164358
OG045_t1	945	795.000	3	113.589081
OG045_t2	950	800.000	3	112.879149
OG046_t1	1733	1583.000	3	57.045685
OG046_t2	879	729.000	5	206.454776
OG047_t1	1776	1626.000	47	870.081180
OG047_t2	1905	1755.000	40	686.065102
OG048_t1	2179	2029.000	479	7106.175431
OG048_t2	1550	1400.000	374	8041.295558
OG049_t1	869	719.000	97	4060.928119
OG049_t2	1397	1247.000	112	2703.547645
OG050_t1	2560	2410.000	148	1848.532673
OG050_t2	2538	2388.000	189	2382.373996
OG051_t1	1797	1647.000	237	4331.488894
OG051_t2	1383	1233.000	225	5492.902622
OG052_t1	729	579.000	39	2027.535662
OG052_t2	1844	1694.000	38	675.231430
OG053_t1	2174	2024.000	3	44.616264
OG053_t2	879	729.000	4	165.163821
OG054_t1	750	600.000	23	1153.875744
OG054_t2	2659	2509.000	24	287.934059
OG055_t1	1864	1714.000	64	1123.961965
OG055_t2	1407	1257.000	48	1149.445589
OG056_t1	966	816.000	212	7820.385478
OG056_t2	1491	1341.000	228	5117.861485
OG057_t1	1575	1425.000	183	3865.615765
OG057_t2	1671	1521.000	221	4373.665028
OG058_t1	1157	1007.000	21	627.729130
OG058_t2	1251	1101.000	16	437.436605
OG059_t1	1930	1780.000	106	1792.537795
OG059_t2	1203	1053.000	138	3944.874339
OG060_t1	2501	2351.000	3	38.410599
OG060_t2	2554	2404.000	4	50.085036
OG061_t1	1697	1547.000	36	700.478235
OG061_t2	2098	1948.000	33	509.926340
OG062_t1	1161	1011.000	268	7979.323943
OG062_t2	1527	1377.000	261	5705.438462
OG063_t1	1905	1755.000	5	85.758138
OG063_t2	774	624.000	5	241.194763
OG064_t1	1594	1444.000	7	145.919491
OG064_t2	1953	1803.000	6	100.170071
OG065_t1	953	803.000	7	262.400678
OG065_t2	2430	2280.000	7	92.415677
OG066_t1	1701	1551.000	53	1028.600024
OG066_t2	1280	1130.000	65	1731.479570
OG067_t1	1462	1312.000	12	275.314997
OG067_t2	2540	2390.000	14	176.324472
OG068_t1	808	658.000	194	8874.794278
