XG0025C01G000010	K03626
XG0025C01G000020	
XG0025C01G000030	
XG0025C01G000040	K07765
XG0025C01G000050	K14015
XG0025C01G000060	
XG0025C01G000070	
XG0025C01G000080	K12130
XG0025C01G000090	K02942
XG0025C01G000100	K12890
XG0025C01G000110	
XG0025C01G000120	K13993
XG0025C01G000130	
XG0025C01G000140	
XG0025C01G000150	
XG0025C01G000160	K13412
XG0025C01G000170	K14488
XG0025C01G000180	K02927
XG0025C01G000190	
XG0025C01G000200	K05275
XG0025C01G000210	K01057
XG0025C01G000220	K01057
XG0025C01G000230	
XG0025C01G000240	K23490
XG0025C01G000250	K22530
XG0025C01G000260	
XG0025C01G000270	K24175
XG0025C01G000280	
XG0025C01G000290	
XG0025C01G000300	
XG0025C01G000310	
XG0025C01G000320	K24406
XG0025C01G000330	
XG0025C01G000340	
XG0025C01G000350	
XG0025C01G000360	K14293
XG0025C01G000370	
XG0025C01G000380	K14293
XG0025C01G000390	
XG0025C01G000400	
XG0025C01G000410	
XG0025C01G000420	
XG0025C01G000430	
XG0025C01G000440	
XG0025C01G000450	
XG0025C01G000460	
XG0025C01G000470	
XG0025C01G000480	
XG0025C01G000490	K01278
XG0025C01G000500	
XG0025C01G000510	K25866
XG0025C01G000520	
XG0025C01G000530	
XG0025C01G000540	K22909
XG0025C01G000550	
XG0025C01G000560	
XG0025C01G000570	K00797
XG0025C01G000580	K05391
XG0025C01G000590	
XG0025C01G000600	K14496
XG0025C01G000610	K08955
XG0025C01G000620	K14948
XG0025C01G000630	
XG0025C01G000640	
XG0025C01G000650	
XG0025C01G000660	K15382
XG0025C01G000670	K09422
XG0025C01G000680	K15119
XG0025C01G000690	
XG0025C01G000700	K06689
XG0025C01G000710	K01183
XG0025C01G000720	
XG0025C01G000730	
XG0025C01G000740	
XG0025C01G000750	
XG0025C01G000760	K20854
XG0025C01G000770	K14777
XG0025C01G000780	K01183
XG0025C01G000790	K01183
XG0025C01G000800	K02283
XG0025C01G000810	K24184
XG0025C01G000820	K10997
XG0025C01G000830	
XG0025C01G000840	
XG0025C01G000850	
XG0025C01G000860	K20854
XG0025C01G000870	K14777
XG0025C01G000880	K01183
XG0025C01G000890	K01183
XG0025C01G000900	K24184
XG0025C01G000910	K10997
XG0025C01G000920	
XG0025C01G000930	
XG0025C01G000940	
XG0025C01G000950	
XG0025C01G000960	K07052
XG0025C01G000970	
XG0025C01G000980	K26672
XG0025C01G000990	
XG0025C01G001000	
XG0025C01G001010	K11884
XG0025C01G001020	
XG0025C01G001030	
XG0025C01G001040	K20300
XG0025C01G001050	
XG0025C01G001060	K02940
XG0025C01G001070	K02940
XG0025C01G001080	
XG0025C01G001090	
XG0025C01G001100	
XG0025C01G001110	
XG0025C01G001120	
XG0025C01G001130	
XG0025C01G001140	
XG0025C01G001150	K24527
XG0025C01G001160	
XG0025C01G001170	K27748
XG0025C01G001180	
XG0025C01G001190	K03327
XG0025C01G001200	K02996
XG0025C01G001210	
XG0025C01G001220	
XG0025C01G001230	
XG0025C01G001240	
XG0025C01G001250	
XG0025C01G001260	K03363
XG0025C01G001270	
XG0025C01G001280	K00652
XG0025C01G001290	
XG0025C01G001300	
XG0025C01G001310	
XG0025C01G001320	
XG0025C01G001330	
XG0025C01G001340	
XG0025C01G001350	K09874
XG0025C01G001360	
XG0025C01G001370	
XG0025C01G001380	K26608
XG0025C01G001390	
XG0025C01G001400	
XG0025C01G001410	K24815
XG0025C01G001420	K19040
XG0025C01G001430	
XG0025C01G001440	K00083
XG0025C01G001450	K09286
XG0025C01G001460	K09287
XG0025C01G001470	K01206
XG0025C01G001480	
XG0025C01G001490	
XG0025C01G001500	
XG0025C01G001510	K17781
XG0025C01G001520	K24028
XG0025C01G001530	K02867
XG0025C01G001540	
XG0025C01G001550	K20856
XG0025C01G001560	
XG0025C01G001570	
XG0025C01G001580	
XG0025C01G001590	K13679
XG0025C01G001600	
XG0025C01G001610	
XG0025C01G001620	K00001
XG0025C01G001630	
XG0025C01G001640	K17479
XG0025C01G001650	
XG0025C01G001660	
XG0025C01G001670	
XG0025C01G001680	K01761
XG0025C01G001690	
XG0025C01G001700	
XG0025C01G001710	
XG0025C01G001720	
XG0025C01G001730	K01933
XG0025C01G001740	
XG0025C01G001750	K25877
XG0025C01G001760	
XG0025C01G001770	K08867
XG0025C01G001780	
XG0025C01G001790	K18726
XG0025C01G001800	
XG0025C01G001810	
XG0025C01G001820	
XG0025C01G001830	
XG0025C01G001840	K09422
XG0025C01G001850	K27906
XG0025C01G001860	
XG0025C01G001870	
XG0025C01G001880	K01784
XG0025C01G001890	
XG0025C01G001900	
XG0025C01G001910	
XG0025C01G001920	
XG0025C01G001930	K17479
XG0025C01G001940	
XG0025C01G001950	K14486
XG0025C01G001960	
XG0025C01G001970	K19039
XG0025C01G001980	K02990
XG0025C01G001990	
XG0025C01G002000	K15382
